2024-09-08 11:17:04,679 - Parameters: {'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 1000, 'tol': 0.001} => R² mean: 0.2967, R² std: 0.0128
2024-09-08 11:17:04,680 - Parameters: {'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 1000, 'tol': 0.0001} => R² mean: 0.3229, R² std: 0.0070
2024-09-08 11:17:04,680 - Parameters: {'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 1000, 'tol': 1e-05} => R² mean: 0.2725, R² std: 0.0435
2024-09-08 11:17:04,680 - Parameters: {'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 2000, 'tol': 0.001} => R² mean: 0.2892, R² std: 0.0252
2024-09-08 11:17:04,680 - Parameters: {'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 2000, 'tol': 0.0001} => R² mean: 0.2965, R² std: 0.0201
2024-09-08 11:17:04,680 - Parameters: {'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 2000, 'tol': 1e-05} => R² mean: 0.3083, R² std: 0.0188
2024-09-08 11:17:04,680 - Parameters: {'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 3000, 'tol': 0.001} => R² mean: 0.2968, R² std: 0.0282
2024-09-08 11:17:04,681 - Parameters: {'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 3000, 'tol': 0.0001} => R² mean: 0.3051, R² std: 0.0229
2024-09-08 11:17:04,681 - Parameters: {'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 3000, 'tol': 1e-05} => R² mean: 0.2971, R² std: 0.0233
2024-09-08 11:17:04,681 - Parameters: {'alpha': 0.0001, 'learning_rate': 'optimal', 'max_iter': 1000, 'tol': 0.001} => R² mean: -90173210627838425694208.0000, R² std: 165394206094869238120448.0000
2024-09-08 11:17:04,681 - Parameters: {'alpha': 0.0001, 'learning_rate': 'optimal', 'max_iter': 1000, 'tol': 0.0001} => R² mean: -780824247723995307180032.0000, R² std: 1441206628650898065195008.0000
2024-09-08 11:17:04,681 - Parameters: {'alpha': 0.0001, 'learning_rate': 'optimal', 'max_iter': 1000, 'tol': 1e-05} => R² mean: -53829008146920357888.0000, R² std: 97746419774989680640.0000
2024-09-08 11:17:04,681 - Parameters: {'alpha': 0.0001, 'learning_rate': 'optimal', 'max_iter': 2000, 'tol': 0.001} => R² mean: -1097054547387706769408.0000, R² std: 1730631422335407882240.0000
2024-09-08 11:17:04,681 - Parameters: {'alpha': 0.0001, 'learning_rate': 'optimal', 'max_iter': 2000, 'tol': 0.0001} => R² mean: -6258277578128301752320.0000, R² std: 10526606428246999302144.0000
